Date,Company,Sentiment_Score
03-07-2023,HDFC,0
12-08-2023,Reliance,0.3182
24-08-2023,Reliance,0
29-08-2023,Reliance,0
11-09-2023,Reliance,0
16-09-2023,HDFC,0.6369
18-09-2023,HDFC,0.6486
19-09-2023,HDFC,0.212
20-09-2023,HDFC,-0.19785
21-09-2023,Reliance,0.31845
22-09-2023,HDFC,0.296
25-09-2023,HDFC,0.6743
27-09-2023,Reliance,0.6249
03-10-2023,Reliance,0
12-10-2023,Reliance,0
18-10-2023,HDFC,-0.2263
19-10-2023,Reliance,0.6369
25-10-2023,Reliance,0
26-10-2023,Reliance,-0.022
27-10-2023,Reliance,0
30-10-2023,Reliance,0.0516
31-10-2023,HDFC,0.6369
07-11-2023,HDFC,0.5256
09-11-2023,Reliance,0
20-11-2023,HDFC,0.58085
24-11-2023,Reliance,0
29-11-2023,Reliance,0
04-12-2023,Reliance,0.6486
22-12-2023,Reliance,0
03-01-2024,Reliance,0
09-01-2024,HDFC,-0.2263
10-01-2024,Reliance,0.296
18-01-2024,HDFC,-0.2263
20-01-2024,HDFC,0
26-01-2024,Reliance,0.34
01-02-2024,Reliance,0
02-02-2024,Reliance,0.31845
05-02-2024,HDFC,0.2023
05-02-2024,Reliance,0
08-02-2024,Reliance,0
11-02-2024,HDFC,0.2023
13-02-2024,HDFC,0
14-02-2024,Reliance,0.2023
15-02-2024,Reliance,0.10846
16-02-2024,Reliance,0
19-02-2024,Reliance,0.6249
20-02-2024,Reliance,-0.3182
25-02-2024,HDFC,0.6369
01-03-2024,Reliance,0
06-03-2024,HDFC,0.7717
09-03-2024,Reliance,0.6369
11-03-2024,HDFC,0.2023
29-03-2024,HDFC,0.6369
02-04-2024,Reliance,0
03-04-2024,HDFC,0.1779
03-04-2024,Reliance,0
06-04-2024,HDFC,-0.3818
11-04-2024,Reliance,0
15-04-2024,Reliance,0
18-04-2024,Reliance,0
22-04-2024,HDFC,0
25-04-2024,Reliance,0
29-04-2024,Reliance,-0.3182
30-04-2024,Reliance,0
02-05-2024,HDFC,0
03-05-2024,Reliance,0
07-05-2024,HDFC,0
07-05-2024,Reliance,0
13-05-2024,HDFC,0
15-05-2024,Reliance,0
24-05-2024,HDFC,0
27-05-2024,HDFC,-0.2263
03-06-2024,HDFC,0
04-06-2024,HDFC,0.25
05-06-2024,HDFC,-0.032433333
06-06-2024,HDFC,-0.296
18-06-2024,HDFC,0.1779
03-07-2024,HDFC,0
09-07-2024,HDFC,-0.2732
11-07-2024,Reliance,0
12-07-2024,HDFC,0.43785
15-07-2024,Reliance,0.3612
25-07-2024,Reliance,0
29-07-2024,HDFC,-0.2263
02-08-2024,Reliance,0
05-08-2024,HDFC,0
13-08-2024,HDFC,0.4019
30-08-2024,HDFC,0
12-09-2024,Reliance,0
16-09-2024,Reliance,0.3818
26-09-2024,HDFC,0.3818
02-10-2024,Reliance,0
08-10-2024,HDFC,0.6359
09-10-2024,HDFC,0.5106
10-10-2024,HDFC,0
10-10-2024,Reliance,0
17-10-2024,HDFC,0
17-10-2024,Reliance,0
19-10-2024,HDFC,0.5574
20-10-2024,HDFC,0.8591
23-10-2024,HDFC,0.4158
24-10-2024,Reliance,0
06-11-2024,Reliance,0
13-11-2024,HDFC,0
20-11-2024,Reliance,0.34
01-12-2024,HDFC,0.5106
02-12-2024,Reliance,0.34
04-12-2024,Reliance,0.6369
17-12-2024,HDFC,-0.2263
18-12-2024,HDFC,-0.34
06-01-2025,HDFC,0
08-01-2025,HDFC,0.59315
16-01-2025,Infosys,0.23376
17-01-2025,Infosys,0.2553
21-01-2025,Infosys,0.51045
22-01-2025,HDFC,0.6908
22-01-2025,Reliance,0.3182
23-01-2025,HDFC,0.6124
27-01-2025,Infosys,0.3818
28-01-2025,Infosys,0
29-01-2025,Infosys,0.2294
30-01-2025,Infosys,-0.064
01-02-2025,HDFC,0.1779
04-02-2025,HDFC,0.3167
05-02-2025,Reliance,0
12-02-2025,HDFC,0.5106
12-02-2025,Reliance,0
18-02-2025,Infosys,0.3818
18-02-2025,Reliance,0
19-02-2025,Reliance,0
21-02-2025,Reliance,0.34
26-02-2025,Infosys,0.6808
02-03-2025,Infosys,0.1027
03-03-2025,HDFC,-0.4471
06-03-2025,Infosys,-0.2263
11-03-2025,Infosys,0.5563
12-03-2025,Infosys,0
13-03-2025,Infosys,0
14-03-2025,Infosys,-0.1531
17-03-2025,Infosys,0.2023
18-03-2025,Infosys,0.1027
18-03-2025,Reliance,0.6369
19-03-2025,HDFC,0.6369
20-03-2025,Infosys,0.127266667
21-03-2025,Reliance,0
24-03-2025,HDFC,0.3243
25-03-2025,Infosys,0.405433333
26-03-2025,HDFC,0.5106
26-03-2025,Infosys,0.5719
27-03-2025,HDFC,0
27-03-2025,Infosys,0.3818
27-03-2025,Reliance,0.296
28-03-2025,HDFC,0.5194
28-03-2025,Infosys,-0.2732
29-03-2025,HDFC,0.25
31-03-2025,Infosys,0.1037
31-03-2025,Reliance,0.34
02-04-2025,Infosys,0.7906
